index,job_title,rating,company,location,headquarters,size,ownership,sector,salary_start,salary_end,location_state
280,Data Scientist,3.7,"Altus Group
3.7","Irvine, CA","Toronto, Canada",1001 to 5000 employees,Company - Public,Real Estate,91000,150000, CA
530,Data Scientist,3.6,"Powertek
3.6","Washington, DC","Rockville, MD",51 to 200 employees,Company - Private,Information Technology,66000,112000, DC
532,Data Scientist,3.1,"Bayside Solutions
3.1","Sunnyvale, CA","Pleasanton, CA",1 to 50 employees,Company - Private,Business Services,66000,112000, CA
25,Data Scientist,4.7,"Oversight Systems
4.7","Atlanta, GA","Atlanta, GA",51 to 200 employees,Company - Private,Information Technology,137000,171000, GA
432,Data Engineer,4.4,"Rocket Lawyer
4.4","San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Information Technology,79000,133000, CA
274,Data Scientist,5.0,"SkillSoniq
5.0","San Francisco, CA","Jersey City, NJ",Unknown,Company - Public,Unknown,91000,150000, CA
550,Data Scientist,4.3,"Lightspeed Systems
4.3","Austin, TX","Austin, TX",51 to 200 employees,Company - Private,Information Technology,128000,201000, TX
551,Data Scientist,3.9,"Thumbtack
3.9","San Francisco, CA","San Francisco, CA",501 to 1000 employees,Company - Private,Information Technology,128000,201000, CA
559,Data Scientist,4.5,"E3 Federal Solutions
4.5","Chantilly, VA","McLean, VA",501 to 1000 employees,Company - Private,Business Services,128000,201000, VA
26,Data Scientist,4.2,"LSQ
4.2","Orlando, FL","Orlando, FL",51 to 200 employees,Company - Private,Finance,137000,171000, FL
27,Data Scientist,3.8,"MIT Lincoln Laboratory
3.8","Lexington, MA","Lexington, MA",1001 to 5000 employees,Nonprofit Organization,Aerospace & Defense,137000,171000, MA
288,Data Scientist,4.3,"Joby Aviation
4.3","San Carlos, CA","Santa Cruz, CA",51 to 200 employees,Company - Private,Unknown,141000,225000, CA
282,Data Scientist,0,Trovetechs Inc,"San Francisco, CA","Hillsborough, NJ",Unknown,Company - Private,Unknown,91000,150000, CA
285,Data Scientist,0,Trovetechs Inc,"San Francisco, CA","Hillsborough, NJ",Unknown,Company - Private,Unknown,141000,225000, CA
292,Data Scientist,3.5,"Leidos
3.5","Arlington, VA","Reston, VA",10000+ employees,Company - Public,Aerospace & Defense,141000,225000, VA
293,Data Scientist,3.7,"Take-Two
3.7","San Francisco, CA","New York, NY",1001 to 5000 employees,Company - Public,Media,141000,225000, CA
294,Data Scientist,3.7,"Colony Brands
3.7","Monroe, WI","Monroe, WI",501 to 1000 employees,Company - Private,Retail,141000,225000, WI
438,Data Scientist,0,"Blue Icy Water, LLC",United States,"Livonia, MI",1 to 50 employees,Company - Private,Unknown,79000,133000,Other
483,Data Scientist,2.9,"Pragmatics, Inc.
2.9",United States,"Reston, VA",201 to 500 employees,Company - Private,Information Technology,31000,56000,Other
570,Data Scientist,3.9,"Mars
3.9",United States,"Mc Lean, VA",10000+ employees,Company - Private,Manufacturing,138000,158000,Other
53,Data Engineer,4.8,"IT Concepts
4.8",Remote,"Vienna, VA",51 to 200 employees,Company - Private,Information Technology,75000,131000,Other
19,Other,3.5,"Tower Health
3.5","West Grove, PA","Reading, PA",5001 to 10000 employees,Nonprofit Organization,Health Care,137000,171000, PA
22,Other,3.5,"Exponent
3.5","Phoenix, AZ","Menlo Park, CA",1001 to 5000 employees,Company - Public,Business Services,137000,171000, AZ
23,Other,3.5,"Guardian Life
3.5","Appleton, WI","New York, NY",5001 to 10000 employees,Company - Private,Insurance,137000,171000, WI
36,Other,2.7,"Sandhills Global
2.7","Lincoln, NE","Lincoln, NE",1001 to 5000 employees,Company - Private,Information Technology,75000,131000, NE
40,Data Analyst,3.1,"Cambridge Associates, LLC
3.1","Boston, MA","Boston, MA",501 to 1000 employees,Company - Private,Finance,75000,131000, MA
50,Data Analyst,4.8,"Giving Assistant
4.8","San Francisco, CA","San Francisco, CA",1 to 50 employees,Company - Private,Business Services,75000,131000, CA
54,Data Analyst,3.5,"iSeatz
3.5","New Orleans, LA","New Orleans, LA",51 to 200 employees,Company - Private,Information Technology,75000,131000, LA
60,Data Analyst,3.8,"Swiss Re
3.8","Fort Wayne, IN","Zurich, Switzerland",10000+ employees,Company - Public,Insurance,75000,131000, IN
